occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,years
220000,Nodosaurus,herbivorous,armored dinosaur,5,83.5,70.6,Alberta,-111.525871,50.728848,Ornithischia,Nodosauridae,77.05
220004,Chasmosaurus,herbivorous,ceratopsian,5,83.5,70.6,Alberta,-111.513893,50.734207,Ornithischia,Ceratopsidae,77.05
220010,Centrosaurus,herbivorous,ceratopsian,6,83.5,70.6,Alberta,-111.524582,50.727234,Ornithischia,Ceratopsidae,77.05
220057,Stegosaurus,herbivorous,armored dinosaur,9,155.7,145,Wyoming,-108.199997,43.630001,Ornithischia,Stegosauridae,150.35
220095,Hypsilophodon,herbivorous,ornithopod,2.3,136.4,122.46,England,1.25,50.07,Ornithischia,Hypsilophodontidae,129.43
220096,Prosaurolophus,herbivorous,ornithopod,7.6,85.8,70.6,Montana,-113.75,48.633301,Ornithischia,Hadrosauridae,78.19999999999999
220097,Hypacrosaurus,herbivorous,ornithopod,9,85.8,70.6,Montana,-113.75,48.633301,Ornithischia,Hadrosauridae,78.19999999999999
220098,Gryposaurus,herbivorous,ornithopod,10,85.8,70.6,Montana,-113.75,48.633301,Ornithischia,Hadrosauridae,78.19999999999999
220109,Maiasaura,herbivorous,ornithopod,9,83.6,72.1,Montana,-112.701118,48.479202,Ornithischia,Hadrosauridae,77.85
220124,Pachyrhinosaurus,herbivorous,ceratopsian,6,83.5,70.6,Alberta,-119.108101,55.0639,Ornithischia,Ceratopsidae,77.05
220164,Stegosaurus,herbivorous,armored dinosaur,9,157.3,145,Utah,-109.205833,40.423611,Ornithischia,Stegosauridae,151.15
220165,Dryosaurus,herbivorous,ornithopod,4,157.3,145,Utah,-109.205833,40.423611,Ornithischia,Dryosauridae,151.15
220227,Mantellisaurus,herbivorous,ornithopod,7,125,113,Sauerland,8.632222,51.434166,Ornithischia,Iguanodontidae,119
221280,Styracosaurus,herbivorous,ceratopsian,5.5,83.5,70.6,Alberta,-111.494217,50.736092,Ornithischia,Ceratopsidae,77.05
221281,Centrosaurus,herbivorous,ceratopsian,6,83.5,70.6,Alberta,-111.484657,50.750553,Ornithischia,Ceratopsidae,77.05
225585,Stegosaurus,herbivorous,armored dinosaur,9,150.8,145,Utah,-109.300552,40.441387,Ornithischia,Stegosauridae,147.9
229313,Hypacrosaurus,herbivorous,ornithopod,9,83.6,72.1,Montana,-113.75,48.633301,Ornithischia,Hadrosauridae,77.85
229314,Prosaurolophus,herbivorous,ornithopod,7.6,83.5,70.6,Montana,-112.640831,48.910831,Ornithischia,Hadrosauridae,77.05
229315,Einiosaurus,herbivorous,ceratopsian,6,83.6,72.1,Montana,-112.650002,48.966599,Ornithischia,Ceratopsidae,77.85
229317,Einiosaurus,herbivorous,ceratopsian,6,83.6,72.1,Montana,-112.650002,48.966599,Ornithischia,Ceratopsidae,77.85
248075,Avaceratops,herbivorous,ceratopsian,2.3,83.5,70.6,Montana,-109.900002,46.200001,Ornithischia,Ceratopsidae,77.05
255623,Hadrosaurus,herbivorous,ornithopod,9,83.5,70.6,New Jersey,-74.300003,40.299999,Ornithischia,Hadrosauridae,77.05
256118,Triceratops,herbivorous,ceratopsian,9,72.1,66,North Dakota,-104.021111,46.466389,Ornithischia,Ceratopsidae,69.05
256679,Mantellisaurus,herbivorous,ornithopod,7,136.4,122.46,England,-1.366667,50.599998,Ornithischia,Iguanodontidae,129.43
263353,Polacanthus,herbivorous,armored dinosaur,5,130,122.46,England,-1.472222,50.65889,Ornithischia,Nodosauridae,126.22999999999999
266835,Orodromeus,herbivorous,ornithopod,2,83.5,70.6,Montana,-112.966667,48.650002,Ornithischia,Thescelosauridae,77.05
269458,Psittacosaurus,herbivorous,ceratopsian,2,130,122.46,Liaoning,120.73333,41.799999,Ornithischia,Psittacosauridae,126.22999999999999
280099,Edmontosaurus,herbivorous,ornithopod,13,70.6,66,Wyoming,-104.48333,43.049999,Ornithischia,Hadrosauridae,68.3
280197,Gryposaurus,herbivorous,ornithopod,10,83.5,70.6,Montana,-109.601669,46.2575,Ornithischia,Hadrosauridae,77.05
280200,Panoplosaurus,herbivorous,armored dinosaur,7,83.5,70.6,Montana,-109.129166,45.823334,Ornithischia,Nodosauridae,77.05
280542,Maiasaura,herbivorous,ornithopod,9,83.5,70.6,Montana,-112.287567,47.768101,Ornithischia,Hadrosauridae,77.05
280571,Brachylophosaurus,herbivorous,ornithopod,7,83.5,70.6,Montana,-110.616669,48.950001,Ornithischia,Hadrosauridae,77.05
280573,Hylaeosaurus,herbivorous,armored dinosaur,5,136.4,122.46,England,-1.383333,50.633331,Ornithischia,Nodosauridae,129.43
280867,Hypsilophodon,herbivorous,ornithopod,2.3,130,125.45,England,-1.371099,50.617123,Ornithischia,Hypsilophodontidae,127.725
280989,Mantellisaurus,herbivorous,ornithopod,7,136.4,125.45,England,-1.406424,50.633606,Ornithischia,Iguanodontidae,130.925
280990,Polacanthus,herbivorous,armored dinosaur,5,130,122.46,England,-1.375,50.623333,Ornithischia,Nodosauridae,126.22999999999999
284148,Gastonia,herbivorous,armored dinosaur,4.6,129.4,125,Utah,-109.567902,38.826099,Ornithischia,Nodosauridae,127.2
284618,Gastonia,herbivorous,armored dinosaur,4.6,125.45,122.46,Utah,-109.691666,38.718056,Ornithischia,Nodosauridae,123.955
287918,Thescelosaurus,herbivorous,ornithopod,3.5,70.6,66,Wyoming,-104.366669,43.299999,Ornithischia,Thescelosauridae,68.3
287919,Edmontosaurus,herbivorous,ornithopod,13,70.6,66,Wyoming,-104.366669,43.299999,Ornithischia,Hadrosauridae,68.3
